23	29902	
id	name	title	level	civ	tribe	hidenpc	icon	hpgauge	uitype	script	stationary	sensory	sensoryshort	speed	bound	altitude	scale	matdamage	matfoot	attackfx	mesh	attackdelay
int	text	text	int	int	string	int	string	int	int	lambda	int	float	float	string	string	float	float	string	string	string	string	float
200000	STR_NPC_NO_NAME	0	17	3	72917	1	72918	3	8	72919	0	15	0	72920	72921	0	0.1	279	0	0	0	2
200001	STR_NPC_NO_NAME	0	17	3	72917	1	72918	3	27	72922	0	5	0	72920	72921	0	0.1	279	0	0	0	2
201000	STR_SUMMONHOMING_TEST	0	24	28	72917	0	72918	1	27	72923	0	10	0	72924	72925	1.8	1	269	0	0	72926	6
201001	STR_SUMMONPET_TEST	0	15	28	72927	0	72918	3	27	72928	0	10	0	72920	72929	1.8	1	269	0	0	72930	3
201002	STR_SUMMONHOMING_TEST	0	35	28	72917	0	72918	3	27	72923	0	10	0	72931	72932	1.8	1	269	0	0	72933	2
201003	STR_SUMMON_FIRE	0	35	29	72934	0	72918	3	25	72935	0	15	0	72936	72937	0	1	279	0	0	72938	2
201005	STR_SUMMON_EARTH	0	9	29	72934	0	72918	4	25	72935	0	15	0	72939	72940	1.8	1	283	0	0	72941	2.04
201006	STR_SUMMON_EARTH	0	21	29	72934	0	72918	3	25	72935	0	15	0	72942	72943	0.6	1	283	0	0	72944	2.04
201007	STR_SUMMON_WIND	0	9	29	72934	0	72918	4	25	72935	0	15	0	72945	72946	0	1	269	0	0	72947	2.4
201008	STR_SUMMON_WIND	0	21	29	72934	0	72918	3	25	72935	0	15	0	72948	72949	0	1	269	0	0	72950	2.4
201009	STR_SUMMON_WATER	0	40	13	72934	0	72918	3	25	72935	0	15	0	72951	72952	0	1	72953	0	0	72954	2
201010	STR_SUMMON_EARTH	0	15	29	72955	0	72956	3	25	72935	0	15	0	72942	72940	1.8	1	283	0	72957	72941	2.04
201011	STR_SUMMON_EARTH	0	15	29	72958	0	72956	3	25	72935	0	15	0	72942	72940	1.8	1	283	0	72957	72941	2.04
201012	STR_SUMMON_WIND	0	12	29	72955	0	72959	3	25	72935	0	15	0	72945	72946	0	1	269	0	72960	72947	2.4
201013	STR_SUMMON_WIND	0	12	29	72958	0	72959	3	25	72935	0	15	0	72945	72946	0	1	269	0	72960	72947	2.4
201014	STR_SUMMON_EARTH	0	27	29	72955	0	72956	3	25	72935	0	15	0	72942	72943	0.6	1	283	0	72957	72944	2.04
201015	STR_SUMMON_EARTH	0	27	29	72958	0	72956	3	25	72935	0	15	0	72942	72943	0.6	1	283	0	72957	72944	2.04
201016	STR_SUMMON_WIND	0	24	29	72955	0	72959	3	25	72935	0	15	0	72948	72949	0	1	269	0	72960	72950	2.4
201017	STR_SUMMON_WIND	0	24	29	72958	0	72959	3	25	72935	0	15	0	72948	72949	0	1	269	0	72960	72950	2.4
201018	STR_SUMMON_EARTH	0	39	29	72955	0	72956	3	25	72935	0	15	0	72961	72962	1.8	1	283	0	72957	72963	2.04
201019	STR_SUMMON_EARTH	0	39	29	72958	0	72956	3	25	72935	0	15	0	72961	72962	1.8	1	283	0	72957	72963	2.04
201020	STR_SUMMON_WIND	0	36	29	72955	0	72959	3	25	72935	0	15	0	72964	72965	0	1	269	0	72960	72966	2.4
201021	STR_SUMMON_WIND	0	36	29	72958	0	72959	3	25	72935	0	15	0	72964	72965	0	1	269	0	72960	72966	2.4
