6	5343	
id	staticid	npcid	position	bound	type
int	int	int	string	string	string
110010000	1131	748006	202157	202158	202159
110010000	1694	748016	202160	202158	202159
110010000	1128	748007	202161	202158	202159
110010000	1430	730091	202162	202158	202159
110010000	982	730093	202163	202158	202159
110010000	984	730095	202164	202158	202159
110010000	1048	730126	202165	202158	202159
110010000	988	730099	202166	202158	202159
110010000	986	730097	202167	202158	202159
110010000	1601	730218	202168	76915	202159
110010000	1126	730264	202169	86106	202159
110010000	1047	730125	202170	202158	202159
110010000	990	730100	202171	202158	202159
110010000	1130	748011	202172	202158	202159
110010000	985	730096	202173	202158	202159
110010000	1132	748012	202174	202158	202159
110010000	983	730094	202175	202158	202159
110010000	968	730092	202176	202158	202159
110010000	991	730101	202177	202158	202159
110010000	318	730015	202178	86106	202159
110010000	987	730098	202179	202158	202159
110010000	248	700000	202180	85407	202159
110010000	134	700018	202181	81625	202159
110010000	1049	730127	202182	202158	202159
110010000	1136	730265	202183	0	202159
110010000	1134	748010	202184	202158	202159
110010000	135	730016	202185	86106	202159
110010000	742	0	202186	202187	137930
110010000	743	0	202188	202189	137930
110010000	108	0	202190	202191	66194
110010000	1120	0	202192	202187	137930
110010000	936	0	202193	202187	137930
110010000	745	0	202194	202189	137930
110010000	943	0	202195	202187	137930
110010000	746	0	202196	202187	137930
110010000	747	0	202197	202187	137930
110010000	748	0	202198	202187	137930
110010000	116	0	202199	202200	66195
110010000	750	0	202201	202187	137930
110010000	751	0	202202	202187	137930
110010000	752	0	202203	202187	137930
110010000	959	0	202204	202187	137930
110010000	961	0	202205	202187	137930
110010000	753	0	202206	202187	137930
110010000	16	0	202207	202208	66196
110010000	754	0	202209	202187	137930
110010000	755	0	202210	202187	137930
110010000	102	0	202211	202212	202213
110010000	756	0	202214	202187	137930
110010000	757	0	202215	202187	137930
110010000	970	0	202216	202187	137930
110010000	758	0	202217	202187	137930
110010000	759	0	202218	202187	137930
110010000	21	0	202219	202220	202221
110010000	98	0	202222	202212	202213
110010000	17	0	202223	202212	202213
110010000	944	0	202224	202187	137930
110010000	934	0	202225	202187	137930
110010000	118	0	202226	202227	66191
110010000	966	0	202228	202187	137930
110010000	19	0	202229	202220	202221
110010000	105	0	202230	202208	66196
110010000	760	0	202231	202187	137930
110010000	957	0	202232	202187	137930
110010000	763	0	202233	202187	137930
110010000	764	0	202234	202187	137930
110010000	765	0	202235	202187	137930
110010000	766	0	202236	202187	137930
110010000	18	0	202237	202220	202221
110010000	107	0	202238	202208	66196
110010000	103	0	202239	202227	66191
110010000	767	0	202240	202187	137930
110010000	111	0	202241	202191	66194
110010000	769	0	202242	202187	137930
110010000	770	0	202243	202187	137930
110010000	937	0	202244	202187	137930
110010000	771	0	202245	202187	137930
110010000	773	0	202246	202187	137930
110010000	774	0	202247	202187	137930
110010000	775	0	202248	202187	137930
110010000	776	0	202249	202187	137930
110010000	97	0	202250	202220	202221
110010000	777	0	202251	202187	137930
110010000	778	0	202252	202187	137930
110010000	960	0	202253	202187	137930
110010000	779	0	202254	202187	137930
110010000	780	0	202255	202187	137930
110010000	782	0	202256	202187	137930
110010000	117	0	202257	202200	66195
110010000	110	0	202258	202191	66194
110010000	783	0	202259	202187	137930
110010000	784	0	202260	202187	137930
110010000	958	0	202261	202187	137930
110010000	785	0	202262	202187	137930
110010000	938	0	202263	202187	137930
110010000	964	0	202264	202187	137930
110010000	26	0	202265	202191	66194
110010000	786	0	202266	202187	137930
110010000	787	0	202267	202187	137930
110010000	788	0	202268	202187	137930
110010000	789	0	202269	202187	137930
110010000	100	0	202270	202212	202213
110010000	790	0	202271	202187	137930
110010000	791	0	202272	202189	137930
110010000	978	0	202273	202187	137930
110010000	793	0	202274	202187	137930
110010000	794	0	202275	202187	137930
110010000	795	0	202276	202187	137930
110010000	933	0	202277	202187	137930
110010000	796	0	202278	202187	137930
110010000	941	0	202279	202187	137930
110010000	969	0	202280	202187	137930
110010000	939	0	202281	202187	137930
110010000	798	0	202282	202187	137930
110010000	1065	0	202283	202187	137930
110010000	1064	0	202284	202187	137930
110010000	972	0	202285	202187	137930
110010000	109	0	202286	202191	66194
110010000	799	0	202287	202187	137930
110010000	800	0	202288	202187	137930
110010000	1118	0	202289	202187	137930
110010000	801	0	202290	202187	137930
110010000	1056	0	202291	202187	137930
110010000	802	0	202292	202187	137930
110010000	803	0	202293	202187	137930
110010000	804	0	202294	202187	137930
110010000	805	0	202295	202187	137930
110010000	807	0	202296	202187	137930
110010000	808	0	202297	202187	137930
110010000	809	0	202298	202187	137930
110010000	810	0	202299	202187	137930
110010000	953	0	202300	202187	137930
110010000	811	0	202301	202187	137930
110010000	812	0	202302	202187	137930
110010000	813	0	202303	202187	137930
110010000	814	0	202304	202187	137930
110010000	975	0	202305	202187	137930
110010000	815	0	202306	202187	137930
110010000	1051	0	202307	202187	137930
110010000	816	0	202308	202187	137930
110010000	817	0	202309	202187	137930
110010000	1057	0	202310	202187	137930
110010000	96	0	202311	202220	202221
110010000	947	0	202312	202187	137930
110010000	818	0	202313	202187	137930
110010000	819	0	202314	202187	137930
110010000	820	0	202315	202187	137930
110010000	928	0	202316	202187	137930
110010000	821	0	202317	202187	137930
110010000	945	0	202318	202187	137930
110010000	822	0	202319	202187	137930
110010000	823	0	202320	202187	137930
110010000	825	0	202321	202187	137930
110010000	826	0	202322	202187	137930
110010000	979	0	202323	202187	137930
110010000	827	0	202324	202187	137930
110010000	828	0	202325	202187	137930
110010000	1037	0	202326	202187	137930
110010000	829	0	202327	202187	137930
110010000	830	0	202328	202187	137930
110010000	831	0	202329	202187	137930
110010000	930	0	202330	202187	137930
110010000	832	0	202331	202187	137930
110010000	833	0	202332	202187	137930
110010000	834	0	202333	202189	137930
110010000	106	0	202334	202208	66196
110010000	1055	0	202335	202187	137930
110010000	962	0	202336	202187	137930
110010000	835	0	202337	202187	137930
110010000	99	0	202338	202212	202213
110010000	932	0	202339	202187	137930
110010000	927	0	202340	202187	137930
110010000	836	0	202341	202187	137930
110010000	926	0	202342	202187	137930
110010000	837	0	202343	202187	137930
110010000	946	0	202344	202187	137930
110010000	838	0	202345	202187	137930
110010000	839	0	202346	202187	137930
110010000	923	0	202347	202187	137930
110010000	101	0	202348	202212	202213
110010000	840	0	202349	202350	137930
110010000	841	0	202351	202187	137930
110010000	842	0	202352	202187	137930
110010000	843	0	202353	202187	137930
110010000	844	0	202354	202187	137930
110010000	845	0	202355	202189	137930
110010000	846	0	202356	202187	137930
110010000	847	0	202357	202187	137930
110010000	848	0	202358	202187	137930
110010000	849	0	202359	202187	137930
110010000	850	0	202360	202187	137930
110010000	924	0	202361	202187	137930
110010000	851	0	202362	202187	137930
110010000	963	0	202363	202187	137930
110010000	852	0	202364	202187	137930
110010000	853	0	202365	202189	137930
110010000	854	0	202366	202187	137930
110010000	855	0	202367	202187	137930
110010000	856	0	202368	202187	137930
110010000	857	0	202369	202187	137930
110010000	858	0	202370	202187	137930
110010000	859	0	202371	202187	137930
110010000	860	0	202372	202187	137930
110010000	861	0	202373	202187	137930
110010000	862	0	202374	202187	137930
110010000	935	0	202375	202187	137930
110010000	863	0	202376	202187	137930
110010000	864	0	202377	202187	137930
110010000	865	0	202378	202187	137930
110010000	951	0	202379	202187	137930
110010000	866	0	202380	202187	137930
110010000	867	0	202381	202187	137930
110010000	1039	0	202382	202187	137930
110010000	949	0	202383	202187	137930
110010000	940	0	202384	202187	137930
110010000	868	0	202385	202187	137930
110010000	869	0	202386	202187	137930
110010000	870	0	202387	202187	137930
110010000	871	0	202388	202187	137930
110010000	872	0	202389	202187	137930
110010000	971	0	202390	202187	137930
110010000	873	0	202391	202187	137930
110010000	874	0	202392	202187	137930
110010000	925	0	202393	202187	137930
110010000	38	0	202394	202227	66191
110010000	973	0	202395	202187	137930
110010000	967	0	202396	202187	137930
110010000	875	0	202397	202187	137930
110010000	1060	0	202398	202187	137930
110010000	1041	0	202399	202187	137930
110010000	1058	0	202400	202187	137930
110010000	876	0	202401	202187	137930
110010000	877	0	202402	202189	137930
110010000	954	0	202403	202187	137930
110010000	878	0	202404	202187	137930
110010000	879	0	202405	202187	137930
110010000	1059	0	202406	202187	137930
110010000	1063	0	202407	202187	137930
110010000	880	0	202408	202350	137930
110010000	881	0	202409	202187	137930
110010000	882	0	202410	202187	137930
110010000	113	0	202411	202200	66195
110010000	104	0	202412	202227	66191
110010000	883	0	202413	202187	137930
110010000	980	0	202414	202187	137930
110010000	884	0	202415	202187	137930
110010000	885	0	202416	202187	137930
110010000	886	0	202417	202187	137930
110010000	887	0	202418	202187	137930
110010000	889	0	202419	202187	137930
110010000	1038	0	202420	202187	137930
110010000	952	0	202421	202187	137930
110010000	1115	0	202422	202187	137930
110010000	890	0	202423	202350	137930
110010000	1121	0	202424	202187	137930
110010000	891	0	202425	202187	137930
110010000	892	0	202426	202187	137930
110010000	976	0	202427	202187	137930
110010000	893	0	202428	202187	137930
110010000	894	0	202429	202350	137930
110010000	895	0	202430	202187	137930
110010000	896	0	202431	202187	137930
110010000	956	0	202432	202187	137930
110010000	897	0	202433	202187	137930
110010000	950	0	202434	202187	137930
110010000	931	0	202435	202187	137930
110010000	72	0	202436	202200	66195
110010000	898	0	202437	202187	137930
110010000	899	0	202438	202187	137930
110010000	955	0	202439	202187	137930
110010000	83	0	202440	202191	66194
110010000	900	0	202441	202187	137930
110010000	917	0	202442	202187	137930
110010000	901	0	202443	202187	137930
110010000	942	0	202444	202187	137930
110010000	977	0	202445	202187	137930
110010000	902	0	202446	202187	137930
110010000	129	0	202447	202220	202221
110010000	974	0	202448	202187	137930
110010000	1061	0	202449	202187	137930
110010000	903	0	202450	202187	137930
110010000	904	0	202451	202187	137930
110010000	1040	0	202452	202187	137930
110010000	905	0	202453	202187	137930
110010000	132	0	202454	202200	66195
110010000	906	0	202455	202187	137930
110010000	908	0	202456	202187	137930
110010000	948	0	202457	202187	137930
110010000	909	0	202458	202350	137930
110010000	911	0	202459	202187	137930
110010000	1062	0	202460	202187	137930
110010000	912	0	202461	202187	137930
