path	xxh64	download_flag	size_bytes
dependencies.bin	0c2eb4ccf1629c0e	0	524902
shadercode.shader	367dd4a1d0b9559e	0	1133240
levels/dc2/dc2.unity.scene	a02758a38b608fbe	120020000	26651402
levels/arena_l_lobby/arena_l_lobby.unity.scene	3d615885022b032b	110070000	65427359
levels/df_prison/df_prison.unity.scene	5365a42f3bd258ef	520010000	610082
levels/arena_d_lobby/arena_d_lobby.unity.scene	8b56d928c147e067	120080000	74272766
levels/idab1_minicastle/idab1_minicastle.unity.scene	9511b880d7cd280b	300030000	21215069
levels/idab1_dreadgion/idab1_dreadgion.unity.scene	7f8eb68b14d6aa17	300110000	41919597
levels/idabgated1/idabgated1.unity.scene	2009333abe74e4dc	320030000	10536231
levels/idabgated2/idabgated2.unity.scene	54d2fbfe2b786b4b	320040000	10299573
levels/idabgatel1/idabgatel1.unity.scene	4bd36fc17e64681e	310030000	10541962
levels/idabgatel2/idabgatel2.unity.scene	092683087d5961ad	310040000	10297130
levels/idabpro/idabpro.unity.scene	3f72de1ae27cdf4f	300010000	8485196
levels/idabprod1/idabprod1.unity.scene	39701f8188b1978b	320010000	14193039
levels/idabprod2/idabprod2.unity.scene	d302af42c8a4a59f	320020000	14199604
levels/idabprod3/idabprod3.unity.scene	3e6f43f00dfdf04c	320140000	14189992
levels/idabprol1/idabprol1.unity.scene	da08c30ceb046084	310010000	14197071
levels/idabprol2/idabprol2.unity.scene	9a4d166fb565c904	310020000	14180183
levels/idabprol3/idabprol3.unity.scene	5a477e88a9b4f590	310120000	16168396
levels/idabre_low_divine/idabre_low_divine.unity.scene	626e5c10e34d731b	300060000	13189806
levels/idabre_low_eciel/idabre_low_eciel.unity.scene	4d2e852bce1e78f4	300090000	6610470
levels/df1/df1.unity.scene	c84a6bd32963d5d7	0	170965420
levels/idabre_low_wciel/idabre_low_wciel.unity.scene	19a3bf28d03a918b	300080000	13930673
levels/idabre_up3_crotan/idabre_up3_crotan.unity.scene	4c689558d7c728de	300140000	28545728
levels/idabre_up3_dkisas/idabre_up3_dkisas.unity.scene	9fe313957d4083c3	300120000	27467839
levels/dc1/dc1.unity.scene	73deeb6de6be8c49	120010000	218080219
levels/idabre_core/idabre_core.unity.scene	08596da389071b76	300220000	66548203
levels/idabre_up3_lamiren/idabre_up3_lamiren.unity.scene	3aa68305c1a24b28	300130000	32803080
levels/idabre_up_asteria/idabre_up_asteria.unity.scene	838b7735e6c08973	300050000	22845549
levels/idabre_up_rhoo/idabre_up_rhoo.unity.scene	eb61e9e3a6779a63	300070000	23508346
levels/ab1/ab1.unity.scene	4a3ec2c6e8f83ba8	400010000	281455014
levels/idarena_pvp02/idarena_pvp02.unity.scene	8118f23e8a627034	300360000	85639604
levels/idarena_pvp01/idarena_pvp01.unity.scene	54cf8d7eef732f1f	300350000	103395452
levels/df2a/df2a.unity.scene	ab7a066b08327b87	220050000	354262367
levels/idarena_pvp01_t/idarena_pvp01_t.unity.scene	3e3a855b1c5aff03	300420000	108833610
levels/iddc1_arena/iddc1_arena.unity.scene	d3f46ade97580a2c	320090000	6607562
levels/df1a/df1a.unity.scene	52e6307b829b761a	220030000	370461608
levels/iddc1_arena_3f/iddc1_arena_3f.unity.scene	ea9a8ae5f518180d	320120000	8603404
levels/idarena_pvp02_t/idarena_pvp02_t.unity.scene	4786890752787a4e	300430000	85634526
levels/idarena/idarena.unity.scene	ac64104e2446db8e	300300000	141261553
levels/iddf1b/iddf1b.unity.scene	75bf604da43d2793	320060000	22498428
levels/iddf2flying/iddf2flying.unity.scene	35bd5c465ab313aa	320050000	16859807
levels/iddf2_dflame/iddf2_dflame.unity.scene	b7d3cd9a5fc5477a	320100000	29319393
levels/iddf3_lp/iddf3_lp.unity.scene	07fbf5ac82408454	320110000	20089023
levels/iddramata_01/iddramata_01.unity.scene	7e2f88a1ad34f75a	320150000	27737496
levels/iddf2a_adma/iddf2a_adma.unity.scene	5f57808f81dcc3a2	320130000	47315079
levels/iddf3_dragon/iddf3_dragon.unity.scene	29c5b2419e80a601	320080000	67990096
levels/iddreadgion_02/iddreadgion_02.unity.scene	9ca01df389344052	300210000	47755010
levels/idlc1_arena/idlc1_arena.unity.scene	4c58511ca8b88a1c	310080000	5564647
levels/idarena_solo/idarena_solo.unity.scene	8a2a866ac255ed72	300320000	118753479
levels/idlf1b_stigma/idlf1b_stigma.unity.scene	348d195f38c44416	310070000	13694165
levels/idlf1b/idlf1b.unity.scene	4d46d2b0a4fd6abe	310060000	22475221
levels/idelim/idelim.unity.scene	ad7c053571d1e0ce	300190000	63679305
levels/idcromede/idcromede.unity.scene	704c1d23ac0146b4	300230000	135907839
levels/idlf3lp/idlf3lp.unity.scene	4163d7fa1064e14e	310050000	20949448
levels/idlf3_castle_lehpar/idlf3_castle_lehpar.unity.scene	3031d3081d8a7291	310100000	27462234
levels/idlf3_castle_indratoo/idlf3_castle_indratoo.unity.scene	cfab10cbb4813e93	310090000	27631405
levels/idspace/idspace.unity.scene	f9bb4a3d73747899	320070000	527626
levels/idlf2a_lab/idlf2a_lab.unity.scene	74421f89389b9036	310110000	60846029
levels/df3/df3.unity.scene	d42b56673c88a4f0	220040000	528565993
levels/idcatacombs/idcatacombs.unity.scene	9c7668f4ba71a2f3	300170000	202881346
levels/lc2/lc2.unity.scene	00b6a358bf301268	110020000	11773426
levels/idtemple_up/idtemple_up.unity.scene	da8613ae6d8ee18b	300150000	56293791
levels/idnovice/idnovice.unity.scene	ff801925081ee424	300200000	88664997
levels/idshulackship/idshulackship.unity.scene	9bdc0e265adae56c	300100000	86101655
levels/df2/df2.unity.scene	a7f54fd229f6d6a7	220020000	566194294
levels/idf4re_drana/idf4re_drana.unity.scene	99c6883ee659a18c	300250000	213560263
levels/idtemple_low/idtemple_low.unity.scene	2d1d913032e42e03	300160000	122120842
levels/lf_prison/lf_prison.unity.scene	330cb255674ed975	510010000	610081
levels/idlf1/idlf1.unity.scene	a74d943b3c9f2ec3	300040000	190952712
levels/login2/login2.unity.scene	2d7d4ef0118e7a1d	0	30519545
effects/env/6.png	580474749356ee4b	0	8494
effects/env/ab1_smoke.png	3638491f02e524f6	0	4006
effects/env/ade10-2.png	662861c356e7402e	0	8109
effects/env/aura25.png	5441c33e33291902	0	8599
effects/env/aura3.png	0ae6998728028129	0	22219
effects/env/aura_blue.png	e728eb1a19b870b9	0	13958
effects/env/aura_light4_w.png	14c344986d61c0cf	0	7147
effects/env/aura_y03.png	c2f7a39fdf77bb31	0	7536
effects/env/blacksmoke-new2.png	de4227408498efaf	0	4709
effects/env/blacksmoke.png	3b18eea18b14c428	0	3669
effects/env/boost_01.png	8102dd666ece41a0	0	13953
effects/env/bubble.png	e5827aa321350770	0	4498
effects/env/bubbles.png	035ceaaec402bba5	0	4411
effects/env/bubble_w.png	982672c83c26f0fd	0	4415
effects/env/burn_fire6_01.png	aaf50ec22f836fdd	0	2461
effects/env/candle00.png	134e6c05405121d9	0	2921
effects/env/circle.png	c662ceab2fab60ef	0	18076
effects/env/circle_big_blue.png	552771f24f919b8e	0	2618
effects/env/circle_big_white.png	b5554a93a260b034	0	8218
effects/env/circle_white_888.png	887687cf92fbf216	0	6448
effects/env/cloud.png	ba6fa5f3820db3cb	0	9327
effects/env/cloud_bang.png	69a74d4062807ebb	0	85233
effects/env/corewater3.png	43bfef149d595536	0	7293
effects/env/crosslightb.png	6e4e70ac8d1f8987	0	6088
effects/env/explosion_gas1.png	ada9a87b27190246	0	3566
effects/env/firerain01.png	4d504baf4e06e68e	0	3037
effects/env/firetype01_01.png	6cbde57f8bcb3fc9	0	2353
effects/env/firetype01_01b.png	8fa4993d33b3090a	0	2368
effects/env/firetype02_01.png	c4fa5610cf78b26d	0	2256
effects/env/firetype02_01b.png	f3ccd51610a5d290	0	2269
effects/env/firetype03.png	7d92a22bbf5c268a	0	2520
effects/env/firetype03b.png	6789df2a392e7478	0	2533
effects/env/fire_flame7.png	6c6b55d567e186d0	0	27240
effects/env/flame.png	12ffbf7a5ce73a3d	0	6506
effects/env/foam01.png	873b6f3fbb211c73	0	44983
effects/env/fountain.png	dc6a27a4c1727055	0	7342
effects/env/frboomani01.png	4e75c359f451a580	0	4793
effects/env/heal_aura4.png	d2dcb81769d460d1	0	4945
effects/env/hydro5_00.png	de17fa4ea44e6b09	0	15555
effects/env/icefoggy.png	89d316689e730147	0	3485
effects/env/item_star_blue.png	f0d87d48fd309df8	0	7107
effects/env/leaf_02.png	979e070b061d3ca8	0	2534
effects/env/lights_up.png	05e82b9594f516a6	0	4383
effects/env/magma_splash_a.png	6030c03104093804	0	21166
effects/env/mists.png	ccb015cfe16691fd	0	30699
effects/env/particles_fire1.png	bcf65ea99b43917c	0	2210
effects/env/pollen_whitespec.png	31176aa71dfa9d12	0	2503
effects/env/puffs.png	2b469d2a116af6e6	0	8908
effects/env/puffs_b.png	16e051b8eb5d7993	0	54803
effects/env/rain101.png	d4a474443ff8cd3b	0	6962
effects/env/ring_glow.png	5eb7119a517dbdb0	0	6684
effects/env/ripple_w.png	13a72d28306896b9	0	19177
effects/env/sand.png	21d8f1b72f0e274e	0	60912
effects/env/seamless_gate-in3.png	5dacfbe488390216	0	25776
effects/env/smoke.png	3f8d29553226e3e3	0	3985
effects/env/smokey.png	33a46ed1c30e0b96	0	3815
effects/env/smokey_b.png	9af78af5f0f2fbfa	0	6285
effects/env/smoke_c.png	fe05d389abd57cb4	0	11846
effects/env/smoke_d.png	cc8d3affa4cfbf8e	0	5952
effects/env/smoke_heavy.png	4968591fe6b72827	0	19480
effects/env/soildust02.png	f620e9245b605f2d	0	8350
effects/env/sparkle03p.png	285ba02463589bb7	0	4631
effects/env/sparkle13.png	398e676b062adad3	0	8322
effects/env/splash05.png	aab5147b4eb2ab66	0	28598
effects/env/stones_a.png	46a005226be55d55	0	6508
effects/env/ty13energy.png	d1e48fa1cc837180	0	8247
effects/env/type03wind.png	8c0dc5b050bef463	0	9796
effects/env/vanq_stage.png	d9d00119b2b3e93a	0	26514
effects/env/waterdrop1.png	6b90cc650242a9a2	0	5308
effects/env/watersplash06.png	316e0c59cb265511	0	4064
effects/env/watersplash09.png	772e91a26d45852a	0	4138
effects/env/water_b-white.png	8414263930cee58c	0	20540
effects/env/water_b1.png	5cde7ca892b0d619	0	20494
effects/env/water_bubbles3.png	155dc24f85fa7fcd	0	11521
